category,type,title,imageUrl,url,status
Keyboards,subheroes,Best Sellers Williams Digital Pianos,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-keyboards2.jpg,http://www.guitarcenter.com/Williams-Digital-Pianos-g5989t1.gc,enabled
Keyboards,subheroes,Save on M-Audio Trigger Finger Pro,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-keyboards3.jpg,http://www.guitarcenter.com/M-Audio-Trigger-Finger-Pro-USB-Controller-110322617-i3755324.gc,enabled
Keyboards,subheroes,New M-Audio Code MIDI Keyboard Controllers,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-keyboards4.jpg,http://www.guitarcenter.com/M-Audio-Code-MIDI-Keyboard-Controllers-g6677t1.gc,enabled
Keyboards,subheroes,New Roland Crossover Synths,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-keyboards5.jpg,http://www.guitarcenter.com/New-Roland-Crossover-Synths-g6580t1.gc,enabled
Keyboards,subheroes,Best Seller Pocket Operator Series from Teenage Engineering,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-keyboards6.jpg,http://www.guitarcenter.com/Teenage-Engineering-Pocket-Operator-Series-g6170t1.gc,enabled
Livesound,sliders,Best-Sellers Digital Mixers ,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-livesound1.jpg,http://www.guitarcenter.com/Best-Sellers-Digital-Mixers--g6681t1.gc,disabled
Livesound,sliders,Best-Sellers Harbinger,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-livesound2.jpg,http://www.guitarcenter.com/Harbinger-g6682t1.gc,enabled
Livesound,sliders,New Crown XLS Series Power Amplifiers,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-livesound3.jpg,http://www.guitarcenter.com/New-Crown-XLS-Series-g6683t1.gc,enabled
Livesound,subheroes,New Mackie FreePlay Personal PA,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-livesound1.jpg,http://www.guitarcenter.com/Mackie-FreePlay-Personal-PA-111005906-i4124685.gc,enabled
Livesound,subheroes,New Behringer X-Series Digital Mixers,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-livesound2.jpg,http://www.guitarcenter.com/Behringer-X-Series-Digital-Mixers-g6582t1.gc,enabled
Livesound,subheroes,New Electro-Voice EKX Powered Speakers,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-livesound3.jpg,http://www.guitarcenter.com/Electro-Voice-EKX-Powered-Speakers-g6517t1.gc,enabled
Livesound,subheroes,New Peavey Dark Matter Series,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-livesound4.jpg,http://www.guitarcenter.com/Peavey-Dark-Matter-Series-g6514t1.gc,enabled
Livesound,subheroes,New GaffGun GaffGun Bundle,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-livesound5.jpg,http://www.guitarcenter.com/GaffGun-GaffGun-Bundle-111253092-i4255478.gc,enabled
Livesound,subheroes,New Soundcraft Si Image Digital Mixer,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-livesound6.jpg,http://www.guitarcenter.com/Soundcraft-Si-Impact-32-Channel-Digital-Mixer-111259016-i4284178.gc,enabled
Mics,sliders,New Shure Motiv Mics,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-mics1.jpg,http://www.guitarcenter.com/Shure-Motiv-g6679t1.gc,disabled
Mics,sliders,New Beyerdynamic Headphones,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-mics2.jpg,http://www.guitarcenter.com/Beyerdynamic-Headphones-g6680t1.gc,enabled
